Name	Set	ImageFile	Type	Sub-Type	Cost	Attack	Defense	Speed	Damage	Effect	
Yomi	Guilty	Yomi.PNG	Ability	Guilty Hell	0	-	-	R2	-	May be activated as R3 if there is an ally Guilty ability. 【Limit】 Pay 1 Tension and declare 1 card name; effects of enemy cards with that name cannot be activated until the end of Enemy Phase.	
Universal Will	Guilty	Universal Will.PNG	Ability	Guilty Directive	0	-	-	R2	-	【Limit】 Choose 1: •Pay 2 Tension or sacrifice 1 Eternal Ability; search 1 Guilty ability. •Target Guilty Eternal Ability gains Tension until it has max.	
Ate-Waza	Guilty	Ate-Waza.PNG	Eternal Ability	Guilty Positioning	0	-	-	-	-	【Passive】 Gains 1 Tension when an ally Guilty squadron is deployed (Max: 3). 【R1】 Choose 1. You may only choose each effect once: •Pay 1 Tension; reposition target squadron. •Pay 2 Tension and self-sacrifice; tag target squadrons.	
Oki-Waza	Guilty	Oki-Waza.PNG	Eternal Ability	Guilty Strike	0	-	-	-	-	【Passive】 Gains 1 Tension when an enemy squadron dies (Max: 3). 【Limit】 Attack Spend on a Guilty squadron and inflict Suppress (2) to target enemy squadron. 【Limit】 Self-sacrifice with 3 Tension; draw 2.	
Okizeme	Guilty	Okizeme.PNG	Eternal Ability	Guilty Assault	0	-	-	R2	-	【Limit】 Choose 1: •When an enemy squadron takes combat damage but is not destroyed: Pay 1 Tension; Attack Refresh target Guilty squadron. •Pay 2 Tension; Target ally Guilty squadron gains Instant Strike (1) and Unblockable (1).	
Sashi-Kaeshi	Guilty	Sashi-Kaeshi.PNG	Eternal Ability	Guilty Vantage	0	-	-	-	-	【Passive】 Gains 1 Tension when an ally Guilty squadron is attacked (Max: 3). 【R2】 Self-sacrifice with 3 Tension and pay [1]; Nullify the effect of an ability in the sequence. 【Limit】 Pay 1 Tension; Inflict Vanish (2) to target ally Guilty squadron.	
The Backyard	Guilty	The Backyard.PNG	Eternal Ability	Guilty Code	0	-	-	-	-	【Charge】 Pay 1 Tension and draw 2, Charge [2], discard 1. 【Passive】 Gains 1 Tension when an ally card with Tension leaves field (Max: 3) 【R1】 Pay 1 Tension; target ally Guilty card gains 1 Tension.	
Marker - Dark Angel (Guilty) (Venom)	Guilty	Dark Angel.PNG	Token	-	-	-	-	-	-	【Expire】 End of Ally Phase or this marker moves 2 times. 【Passive】 When this zone is attacked or an ally squadron moves into it: Move this marker to an adjacent zone. When moving to a new zone: Inflict Bolt (5) to an enemy squadron in that zone. 【Detonate】 Destroy target card in the ability zone.	
Marker - HITOMI (Guilty) (Testament)	Guilty	Hitomi.PNG	Token	-	-	-	-	-	-	【Expire】 Ally "Testament" takes damage or leaves the Active Line, or End of Enemy Phase. 【Detonate】 When an ally Guilty squadron in this zone is attacked: Inflict Suppress (2) to the attacking squadron.	
Marker - Invite Hell (Guilty) (Zato=1)	Guilty	Invite Hell.PNG	Token	-	-	-	-	-	-	【Expire】 End of Enemy Phase or ally "Zato=1" dies. 【Passive】 A squadron in this zone cannot block or activate its effects.	
Marker - Phantom Soul (Guilty) (Testament)	Guilty	Phantom Soul.PNG	Token	-	-	-	-	-	-	【Expire】 Ally "Testament" leaves the Active Line. 【Passive】 When a squadron moves: Move this marker to an adjacent zone. An enemy squadron in this zone is nullified.	
Marker - Tandem Top (Guilty) (Millia Rage)	Guilty	Tandem Top.PNG	Token	-	-	-	-	-	-	【Expire】 The end of Enemy Phase, or ally "Millia Rage" dies or takes damage. 【Passive】 A squadron in this zone is inflicted with Speed (-1) and cannot be moved with card effects.	
Marker - Zeinest (Guilty) (Testament)	Guilty	Zeinest.PNG	Token	-	-	-	-	-	-	【Expire】 Ally "Testament" leaves the field. 【Passive】 Must be placed in an Enemy ability zone. Abilities cannot be activated in this zone and any ability in this zone has its effects nullified.	
Marker - Gamma Ray (Guilty) (Justice)	Guilty	Gamma Ray.PNG	Token	-	-	-	-	-	-	【Expire】 End of Enemy Phase. 【Passive】 Enemy squadron effects cannot be activated when a squadron in this zone is in combat. When combat is declared involving ally "Justice": Inflict Bolt (5) to the squadron in this zone.	
Ascend - Sol Badguy (Guilty)	Guilty	Dragon Install.PNG	Token	-	3	30	20	7	12	【Ascended from "Sol Badguy"】 【Unblockable】	
Sol Badguy	Guilty	Sol Badguy.PNG	Squadron	Guilty Gear	2	20	20	5	10 + 1x	【Passive】 Gains 1 Tension when tag advancing, inflicting, or receiving combat damage (Max: 3). 【R2 Action】『Ride The Fire』 During Ally Phase: Pay 3 Tension; Ascend. Revert at the end of Enemy Phase. 【R2 Action】『Fafnir』 Outside of combat: Pay 2 Tension; gain Piercing Strike (1).	
Potemkin	Guilty	Potemkin.PNG	Squadron	Guilty Buster	1	15	25	3	10	【Passive】 Gains 1 Tension when tag advancing or inflicting combat damage (Max: 3). 【Limit Action】『Slidehead』 Pay 2 Tension; inflict Suppress (1) to target enemy squadron. 【Assist】『Hammerfall』 Tag with a Guilty squadron and gain Armor (5).	
Slayer	Guilty	Slayer.PNG	Squadron	Guilty Vampire	3	15	30	5	13	【Reaper】 【Passive】 Gains 1 Tension when tag advancing or inflicting combat damage (Max: 3). 【R2 Action】『Dead On Time』 During Ally Phase: Pay 2 Tension; gain Attack (15). 【Action】『Dandy Step』 Tag with a support Guilty squadron, then tag again with an active Guilty squadron.	
Justice	Guilty	Justice.PNG	Squadron	Guilty Apocalypse	2	15	25	4	10 + 1x	【Passive】 Gains 1 Tension when tag advancing or inflicting combat damage (Max: 3). 【Limit Action】『Michael Sword』 Pay 1 Tension; destroy target ability. 【Action】『Nuclear Blast』 Pay 1 Tension; place 1 "Gamma Ray" marker.	
Elphelt Valentine	Guilty	Elphelt Valentine.PNG	Squadron	Guilty Marionette	1	15	10	6	5 + 1x	【Passive】 Gains 1 Tension when tag advancing or inflicting combat damage (Max: 3). 【Action】『Miss Travailler』 Pay 1 Tension; gain Attack (5). 【Assist】『Miss Confille』 Self-inflict Attack (-5) and gain Sniper (1), then you may pay 2 Tension to gain Unblockable (1).	
Baiken	Guilty	Baiken.PNG	Squadron	Guilty Avenger	1	15	15	7	6 + 2x	【Passive】 Gains 1 Tension when tag advancing or inflicting combat damage (Max: 3). 【R2 Limit Action】『Azami』 When this card battles: Pay 2 Tension; Nullify all damage from this battle. 【R2 Assist】『Suzuran』 Pay 1 Tension; Combat Tag Advance and gain Guardian (2), or Combat Tag Defend with a Guilty squadron.	
Bedman	Guilty	Bedman.PNG	Squadron	Guilty Nightmare	1	15	20	4	6 + 2x	【Passive】 Gains 1 Tension when tag advancing or inflicting combat damage (Max: 3). 【Action】『Déjà Vu』 Pay 2 Tension; this effect resolves as the effect of target Guilty squadron in ally graveyard that requires paying Tension.	
Jam Kuradoberi	Guilty	Jam Kuradoberi.PNG	Squadron	Guilty Fighter	0	15	15	6	7 + 1x	【Perfect Strike】 【Passive】 Gains 1 Tension when tag advancing or initiating combat (Max: 3). 【R2 Assist】『Bakushuu』 Pay 2 Tension; Combat Tag Advance with a Guilty squadron and self-inflict Attack (-5), then gain Dual Strike (1).	
Testament	Guilty	Testament.PNG	Squadron	Guilty Reaper	2	15	25	5	7 + 2x	【Passive】 Gains 1 Tension when tag advancing  or a player loses life (Max: 3). 【Action】『Master of Puppets』 Choose 1. You may only choose each effect once: •Pay 1 Tension; place 1 "Zeinest" marker. •Pay 2 Tension; place 1 "Phantom Soul" marker. •Pay 3 Tension; place 1 "HITOMI" marker.	
I-no	Guilty	I-no.PNG	Squadron	Guilty Witch	1	15	15	7	8 + 1x	【Mobility】  【Passive】 Gains 1 Tension when tag advancing or inflicting combat damage (Max: 3). 【R2 Action】『Chemical Love』 Pay 1 Tension; gain Unblockable (1) or Instant Strike (1).	
Zato=1	Guilty	Zato=1.PNG	Squadron	Guilty Shadow	1	15	15	5	8 + 2x	【Passive】 Gains 1 Tension when tag advancing or inflicting combat damage (Max: 3). 【Action】『Vice』 Pay 1 Tension; place 1 "Invite Hell" marker. 【Limit Skill】『Shadow Gallery』 Pay 1 Tension; Create 1 "Eddie" token, then you may tag it with this card. Refresh at the end of Ally Phase after "Eddie" leaves the field.	
Ky Kiske	Guilty	Ky Kiske.PNG	Squadron	Guilty Crusader	1	15	20	5	9 + 1x	【Reaper】 【Passive】 Gains 1 Tension when tag advancing or inflicting combat damage (Max: 3). 【R2 Action】『Split Ciel』 When this card earns a combat kill: 2 target Guilty squadrons gain 1 Tension.	
Venom	Guilty	Venom.PNG	Squadron	Guilty Assassin	1	15	15	6	9 + 1x	【Passive】 Gains 1 Tension when tag advancing or inflicting combat damage (Max: 3). 【Action】『Dubious Curve』 Pay 1 Tension; place 1 "Dark Angel" marker. 【Limit Action】『Stinger』 Pay 1 Tension; detonate 1 "Dark Angel" marker.	
Token - Mini Faust (Guilty) (Faust)	Guilty	Mini Faust.PNG	Token	Guilty Drone	-	15	10	3	6	【Entry】 Gains permanent Defense (+5) times the cost of the squadron revealed when creating this card. 【Passive】 Dies when inflicting combat damage to an enemy squadron. 	
Token - Eddie (Guilty) (Zato=1)	Guilty	Eddie.PNG	Token	Guilty Demon	-	15	5	5	8	【Lifeless】 【Passive】 Dies if ally "Zato=1" leaves the field. Ally "Zato=1" gains Perfect Strike. 【Limit Skill】『Break The Law』 Tag with "Zato=1" and inflict Vanish (2) to it.	
Johnny	Guilty	Johnny.PNG	Squadron	Guilty Pirate	1	10	20	4	7 + 2x	【Passive】 Gains 1 Tension when tag advancing or inflicting combat damage (Max: 3). Gains Speed (+3) when it has Mist. 【R2 Action】『Mist Finer』 Pay Tension equal to this card's Mist; lose all Mist, then gain Attack (+5) for each and draw 1. 【Action】『Glitter Is Gold』 Discard 1-2 Guilty cards; gain 1 Mist for each (Max: 2) and inflict Stun (1) to target squadron.	
Chipp Zanuff	Guilty	Chipp Zanuff.PNG	Squadron	Guilty Shinobi	1	10	10	9	8 + 1x	【Mobility】 【Passive】 Gains 1 Tension when tag advancing or inflicting combat damage (Max: 3). 【R2 Action】『Tsuyoshi-shiki Ten'i』 Pay 2 Tension; gain Instant Strike (1). 【Limit Skill】『Sankaku Tobi』 Pay 1 Tension; Tag with a Guilty squadron.	
Faust	Guilty	Faust.PNG	Squadron	Guilty Doctor	1	10	20	5	9 + 1x	【Passive】 Gains 1 Tension when tag advancing or inflicting combat damage (Max: 3). 【Action】『What Could This Be?』 Excavate 1. Once, you may add that card to hand. Apply 1 based on the card's type: •Guilty Squadron: Create 1 "Mini Faust" token. •Ability: Target Guilty card gains 1 Tension times the revealed card's soul cost. 【Limit Action】 Pay 1 Tension; tag with a Guilty squadron.	
Millia Rage	Guilty	Millia Rage.PNG	Squadron	Guilty Flower	1	10	15	8	9 + 1x	【Mobility】 【Passive】 Gains 1 Tension when tag advancing or inflicting combat damage (Max: 3). 【Limit Action】『Silent Force』 Inflict Stun (2) to target enemy squadron. 【Action】『Pretty Maze』 Pay 2 Tension; place 1 "Tandem Top" marker.	
A.B.A.	Guilty	A.B.A..PNG	Squadron	Guilty Homunculus	1	10	25	4	9 + 1x	【Passive】 Gains 1 Tension when tag advancing or inflicting combat damage (Max: 3). 【Action】『Bonding』 Pay 2 Tension; Gains permanent Speed (3) and Attack (10) until this card takes combat damage. 【R2 Skill】『Dragging』 Outside of Combat Phase, if this card has no stat bonuses: Pay 1 Tension; Tag with a Guilty squadron.	
Sin Kiske	Guilty	Sin Kiske.PNG	Squadron	Guilty Child	1	5	20	0	9 + 1x	【Entry】 Gains 3k Calories. 【Passive】 Gains 1 Tension when tag advancing or inflicting combat damage (Max: 3). Gains Attack (+5) and Speed (+2) for every 1k Calories. Loses 1k Calories after combat. 【Skill】『Still Growing』 Pay 2 Tension; gains 2k Calories (Max: 3k). 【Action】『Beak Driver』 Pay 1k Calories; reposition target enemy squadron.	
Aqua Serenade	Hylia	Aqua Serenade.PNG	Ability	Flowing Melody	0	-	-	R1	-	【Limit】 If there is an ally Hylian squadron: Choose 1. You may recall 1 ally Hylian squadron to pay for the effect corresponding to that squadron's paid cost: •Draw 3, then place 2 from hand on top of deck in any order. •Pay [1] and Draw 2. •Pay [2], draw 3, then discard 1.  『"Time passes, people move...  Like a river's flow, it never ends..."』	
Deathly Nocturne	Hylia	Deathly Nocturne.PNG	Ability	Ghastly Melody	0	-	-	R1	-	【Limit】 Transient deploy target soul cost [1+] Hylian squadron from ally graveyard with a different name than ally deleted cards. You may sacrifice 1 Hylian squadron with equal soul cost to the targeted squadron's to pay for this.   『"This is the melody that will draw you into the infinite darkness that absorbs even time..."』	
Divine Ballad	Hylia	Divine Ballad.PNG	Ability	Ancient Melody	0	-	-	R1	-	【Limit】 Transform target ally Hylian Princess squadron into a different Hylian Princess squadron from deck.	
Fiery Bolero	Hylia	Fiery Bolero.PNG	Ability	Infernal Melody	0	-	-	R1	-	【Limit】 If there is an ally Hylian squadron: Choose 1 to inflict to target squadron. You may recall 1 ally Hylian squadron to pay for the effect corresponding to that squadron's paid cost:  •Bolt (5). •Pay [1] and Bolt (10). •Pay [2] and Bolt (20).  『"This song is dedicated to the power of the heart..."』                                                                         	
Mask Change	Hylia	Mask Change.PNG	Ability	Fairy Spell	0	-	-	R2	-	【Limit】 Transform target "Hero of Time" or Masked Hylian squadron into 1 "Hero of Time" or Masked Hylian squadron with a different name from hand or deck.	
Song of Time	Hylia	Song of Time.PNG	Ability	Temporal Melody	0	-	-	R1	-	【Limit】 Return 1-3 Equipment augments and/or Hylia squadrons from hand, graveyard, and ability zone to your deck, then draw 1. For each augment returned from hand or ability zone, draw 1. If you returned a squadron from hand, draw 1.  『"The Goddess of Time is protecting you. If you play the Song of Time, she will aid you...』	
Spiritual Requiem	Hylia	Spiritual Requiem.PNG	Ability	Meditative Melody	0	-	-	R1	-	【Limit】 If there is an ally Hylian squadron: Extra Charge. You may place 1 ally Hylian squadron on the bottom of deck to draw 1.  『"To restore the Desert Colossus and enter the Spirit Temple, you must travel back through time's flow..."』	
Sylvan Minuet	Hylia	Sylvan Minuet.PNG	Ability	Verdant Melody	0	-	-	R1	-	【Limit】 If there is an ally Hylian squadron: Choose 1: •Inflict Stun (2) or Silence (2) to target squadron. •Recall 1 ally Hylian squadron to transform it into a different Hylian squadron from hand with equal or greater soul cost.  『"The flow of time is always cruel...  Its speed seems different for each person, but no one can change it..."』	
Clawshot	Hylia	Clawshot.PNG	Augment	Grappling Equipment	0	-	-	-	-	Augment target Hylian Hero squadron: "〖Limit Action〗 Tag or reposition target enemy support squadron. 〖Limit Skill〗 Tag this card with ally Hylian squadron."	
Hylian Shield	Hylia	Hylian Shield.PNG	Augment	Unbreakable Equipment	0	-	-	-	-	Augment target Hylian Hero squadron: "〖Passive〗 When this card Transforms: You may recover its attached augment. 〖Passive〗 Gains Defense (5). 〖Death〗 If there is no "Hylian Shield" in ally graveyard: Draw 1, then place 1 card from hand on the bottom of deck."	
Magic Arrows	Hylia	Magic Arrows.PNG	Augment	Goddess Equipment	0	-	-	-	-	Augment target Hylian Hero or Hylian Princess squadron: "〖Assist〗 Inflict 1 to target enemy squadron. You may only choose each effect once: •Bolt (5). •Silence (1). •Stun (1)."	
Megaton Hammer	Hylia	Megaton Hammer.PNG	Augment	Shattering Equipment	0	-	-	-	-	Augment target Hylian Hero squadron: "〖Passive〗 Gains Unblockable, ignores armor, and nullifies all armor on any squadron this card inflicts combat damage to. 〖Limit Action〗 Target squadron cannot activate its effects until the end of Enemy Phase."	
Mirror Shield	Hylia	Mirror Shield.PNG	Augment	Reflective Equipment	0	-	-	-	-	Augment target Hylian Hero squadron: 〖Squadron Safeguard〗 "〖Passive〗 When this card Transforms: You may recover its attached augment. 〖Death〗 If there is no "Mirror Shield" in ally graveyard: Draw 1, then discard 1."	
Nayru's Love	Hylia	Nayru's Love.PNG	Eternal Ability	Fairy Spell	0	-	-	-	-	【Entry】 Link this card to target ally Hylian squadron. If the Linked squadron leaves the field, destroy this card. 【Forced R2】 The first time the Linked squadron would take combat damage: Self-sacrifice; You may pay [1] and nullify all damage from the rest of that battle.	
Sheik Alt 1	Hylia	Sheik Alt 1.PNG	Squadron	-	-	-	-	-	-	-	
Champion Urbosa	Hylia	Champion Urbosa.PNG	Squadron	Hylian Hero	2	25	20	5	12	【Grave】 Delete this card; target ally Hylian squadron gains Squadron Instant (1).	
Fierce Diety	Hylia	Fierce Deity.PNG	Squadron	Masked Deity	3	25	20	4	6 + 3x	【Unblockable】 【Hand】 Recall target ally Masked Hylian squadron or "Hero of Time" to Transform it into this card. 【R2 Action】 Return this card to deck, then create 1 Masked Hylian squadron or "Hero of Time" from hand or deck. That squadron cannot attack this turn.	
Hero of Twilight	Hylia	Hero of Twilight.PNG	Squadron	Hylian Hero	2	20	25	4	12	【R2 Limit Skill】 When this card earns a combat kill: Search 1 Equipment augment. This card cannot Transform for the rest of this turn. 【Skill】 If this card battled this turn: Transform it into "Sacred Beast" from deck.	
Cursed Imp	Hylia	Cursed Imp.PNG	Squadron	Hylian Princess	1	20	10	5	6 + 2x	【Perfect Strike】 【R2 Skill】 During Enemy End Phase: Transform this card for [0] into "Twilight Princess" from hand or Deck. 【R2 Limit Skill】 Outside of combat: Self-Inflict Vanish (2).	
Goddess Hylia	Hylia	Goddess Hylia.PNG	Squadron	Hylian Princess	3	20	25	5	6 + 3x	【Safeguard】 【Hand】 Recall target ally Hylian Princess squadron to Transform it into this card. You may not play squadrons with the same name as the recalled squadron while this card is on the field.	
Puppet Princess	Hylia	Puppet Princess.PNG	Squadron	Hylian Princess	2	20	20	5	7 + 2x	【Mobility】 【R3】 When an ally Hylian Princess squadron dies: Pay [1]; create this card.	
Twilight Princess	Hylia	Twilight Princess.PNG	Squadron	Hylian Princess	2	20	20	5	7 + 2x	【R2 Limit Action】 Inflict Vanish (1) to target ally squadron. 【Limit Action】 Inflict Suppress (2) to target enemy squadron.	
Hero's Reflection	Hylia	Hero's Reflection.PNG	Squadron	Hylian Hero	1	20	15	5	8 + 1x	【Limit Action】 Apply target Equipment or enemy augment's effects to this card until the end of Enemy Phase.	
Champion Revali	Hylia	Champion Revali.PNG	Squadron	Hylian Hero	0	15	15	5	7	【Perfect Strike】 【Grave】 Delete this card; tag or reposition target ally Hylian squadron(s).	
Hero of Time	Hylia	Hero of Time.PNG	Squadron	Hylian Hero	0	15	10	6	7	【Skill】 If this card battled this turn: Transform it into a Masked Hylian squadron or "Hero of Twilight" from deck. 【Skill】 Recall this card; deploy 1 Masked Hylian squadron or "Hero of Twilight".	
Champion Mipha	Hylia	Champion Mipha.PNG	Squadron	Hylian Hero	1	15	15	7	8	【Safeguard】 【Type: Hylian Princess】  【Grave】 Delete this card; target ally Hylian squadron gains Status Safeguard.	
Champion Daruk	Hylia	Champion Daruk.PNG	Squadron	Hylian Hero	1	15	20	4	9	【R2 Assist】 Combat Tag Defend with an active Hylian squadron. The opponent may only redeclare the attack against an active squadron.	
Sheikah Guardian	Hylia	Sheikah Guardian.PNG	Squadron	Hylian Hero	1	15	15	7	9	【Type: Hylian Princess】  【R3】 When an ally Hylian Princess squadron is targeted by an attack or effect: Pay [1]; create this card. Targets are then redeclared. 【Active】 If this card can be attacked: Enemy cannot target other ally Hylian Princess squadrons with attacks or effects.	
Sacred Beast	Hylia	Sacred Beast.PNG	Squadron	Hylian Beast	1	15	15	7	10	【Limit Entry】 Reveal a concealed ability. If this card was created: You may reveal 1 card in enemy hand instead. Enemy cards with that name cannot be played until end of Enemy Phase. 【Skill】 If this card battled this turn: Transform into "Hero's Shade" or "Hero of Twilight" from deck.	
Sheik	Hylia	Sheik.PNG	Squadron	Hylian Princess	2	15	20	8	10	【Instant Strike】 【R2 Action】 When this card is attacked: Return it to deck; inflict Stun (2) to the attacking squadron.	
Hero's Shade	Hylia	Hero's Shade.PNG	Squadron	Hylian Hero	2	15	25	5	11	【Entry】 Attach target Equipment augment from ally graveyard to this card. 【Skill】 If this card battled this turn: Transform it into "Sacred Beast" from deck.  『"A sword wields no strength unless the hand that holds it has courage."』	
Princess Zelda	Hylia	Princess Zelda.PNG	Squadron	Hylian Princess	1	15	20	4	5 + 3x	【Skill】 If this card battled this turn: Transform into "Sheik" from hand or deck. 【Limit Action】 Inflict Silence (2) to target squadron.	
Masked Zora	Hylia	Masked Zora.PNG	Squadron	Masked Hylian	1	15	20	5	6 + 2x	【Perfect Strike】 【Create】 Gains Safeguard. 【Skill】 If this card battled this turn: Transform it into "Hero of Time" from deck.	
Masked Goron	Hylia	Masked Goron.PNG	Squadron	Masked Hylian	1	15	25	3	9 + 1x	【Create】 Inflict Bolt (5) to target squadron. 【Skill】 If this card battled this turn: Transform it into "Hero of Time" from deck.	
Masked Scrub	Hylia	Masked Scrub.PNG	Squadron	Masked Hylian	1	10	10	6	5 + 1x	【Sniper】 【Mobility】 【Limit Create】 Inflict Nullify (2) to target squadron. 【Action】 If this card battled this turn: Transform it into "Hero of Time" from deck.	
Princess Hilda	Hylia	Princess Hilda.PNG	Squadron	Hylian Princess	1	15	15	6	7 + 2x	【Action】 Transient activate the first effect of target Melody ability from ally graveyard with a different name than ally deleted cards.	
Ooccoo	Hylia	Ooccoo.PNG	Squadron	Hylian Mystery	1	5	5	3	6x	【Action】 During your Combat Phase this effect becomes R2. Delete this card; return 1 active ally Hylian Hero squadron to deck to create 1 different Hylian Hero squadron with soul cost [1+] (Max: [2]) or less than the returned squadron from deck.	
Princess of Fate	Hylia	Princess of Fate.PNG	Squadron	Hylian Princess	0	0	5	3	0	【Assist】 Scry 3. You may add 1 Melody or Fairy Spell ability from among them to your hand, then place this card or 1 card from hand on the bottom of your deck.	
Astraura	Magicians	Astraura.PNG	Ability	Celestial Magic	0	-	-	R1	-	May be activated as R3 if there is an ally Tome ability. 【Limit】 If there is an ally Magician squadron or Tome ability: Sacrifice 1 ally Eternal Ability or concealed ability and search 1 Magic ability or Enchantment augment.	
Chronaura	Magicians	Chronaura.PNG	Ability	Temporal Magic	0	-	-	R2	-	May be activated as R3 if there is an ally Tome ability. 【Limit】 If there is an ally Magician squadron or Tome ability: Draw 3, then place 2 from hand on the top of your deck in any order.	
Emptiness	Magicians	Emptiness.PNG	Ability	Void Magic	1	-	-	R2	-	May be activated as R3 if there is an ally Tome ability. May be activated for [0] during Ally Phase. 【Limit】 Outside of combat, if there is an ally Magician squadron or Tome ability: Inflict Nullify (2) to target squadron.	
Emptiness Alt 1	Magicians	Emptiness Alt 1.PNG	Ability	-	-	-	-	-	-	-	
Lunaura	Magicians	Lunaura.PNG	Ability	Celestial Magic	0	-	-	R1	-	【Limit】 Return 1-3 Tome abilities or Enchantment augments from ally graveyard, deleted zone, or hand into your deck, then draw 1. For each card you returned from hand, draw an additional 1.	
Magician's Freeze	Magicians	Magician's Freeze.PNG	Ability	Cryo Magic	1	-	-	R2	-	May be activated as R3 if there is an ally Tome ability. 【Limit】 If there is an ally Magician squadron or Tome ability: Inflict Nullify (1) to target ability.	
Purity	Magicians	Purity.PNG	Ability	Holy Magic	1	-	-	R2	-	May be activated as R3 if there is an ally Tome ability. 【Limit】 When an attack is declared against a Magician squadron that has not taken combat damage from an active squadron this turn: Nullify all damage from that battle. 	
Sinaura	Magicians	Sinaura.PNG	Ability	Fell Magic	0	-	-	R1	-	【Limit】 Target Magician squadron gains permanent Attack (5) while it is in the active line. The next time the targeted squadron earns a combat kill: Draw 1.	
Solaura	Magicians	Solaura.PNG	Ability	Celestial Magic	0	-	-	R1	-	【Limit】 If there is an ally Magician squadron or Tome ability: Choose 1: •Combat Charge and draw 1. •Extra Charge.	
Valaura	Magicians	Valaura.PNG	Ability	Light Magic	2	-	-	R1	-	【Limit】 If there is an ally Magician squadron or Tome ability: Inflict Bolt (20) to target squadron, then enemy player discards 1.	
Aeraura	Magicians	Aeraura.PNG	Augment	Magical Enchantment	0	-	-	R1	-	Augment target Magician squadron: "〖Mobility〗 〖R2 Limit Skill〗 During Ally Phase: Tag or reposition target squadron(s). The tagged squadron(s) may not attack directly."	
Meteaura	Magicians	Meteaura.PNG	Augment	Magical Enchantment	0	-	-	-	-	Augment target Magician squadron: "〖Passive〗 Gains Unblockable. 〖Limit Skill〗 If this card has not attacked this turn: Inflict Bolt (5) to target enemy squadron, then self-inflict Nullify (1)."	
Vitaura	Magicians	Vitaura.PNG	Augment	Magical Enchantment	0	-	-	-	-	Augment target Magician squadron: "〖Passive〗 Gains Defense (5). 〖Limit Skill〗 When an ally Tome ability leaves the field: Delete it; draw 1."	
Tome of Chaos	Magicians	Tome of Chaos.PNG	Eternal Ability	Ruin Tome	0	-	-	-	-	【Charge】 Reveal a Magician squadron or Magic ability from hand, field, or graveyard, lose 5 life, draw 1, and Charge [3].  【Limit】 Pay [1] and self-sacrifice; search 1 Magic ability with a different name than cards in ally graveyard.	
Tome of Creation	Magicians	Tome of Creation.PNG	Eternal Ability	Genesis Tome	0	-	-	-	-	【Charge】 Reveal a Magician squadron or Magic ability from hand, field, or graveyard, Charge [2], draw 2, then discard 1.  【Limit】 Pay [1] and self-sacrifice; search 1 Magician squadron with a different name than cards in your graveyard.	
Tome of Death	Magicians	Tome of Death.PNG	Eternal Ability	Forbidden Tome	0	-	-	-	-	【Entry】 Place 1 "Wrath" marker. 【Limit】 If there is no "Tome of Death" in ally graveyard or deletion: Self-sacrifice; destroy target card in the ability zone.	
Tome of Inferno	Magicians	Tome of Inferno.PNG	Eternal Ability	Hellfire Tome	0	-	-	-	-	【Entry】 Search and delete 1 Magician squadron, then Extra Charge.  【Forced Charge】 Draw 1, Charge [1], self-sacrifice, then recover the squadron deleted by this card. 【Forced Death】 Pay [1].	
Tome of Life	Magicians	Tome of Life.PNG	Eternal Ability	Blessed Tome	0	-	-	-	-	【Entry】 Place 1 "Protection" marker. 【Limit】 If there is no "Tome of Life" in ally graveyard or deletion: Self-sacrifice; inflict Stun (2) to target squadron.	
Tome of Memory	Magicians	Tome of Memory.PNG	Eternal Ability	Nostalgia Tome	0	-	-	-	-	【Charge】 Delete 1 Tome ability in ally graveyard then perform its Charge effect. 【Passive】 When an ally Tome ability would be sacrificed: Self-sacrifice instead. 【Limit】 Pay [1] and self-sacrifice; resolve the Limit effect of target Tome ability in ally graveyard.	
Tome of Order	Magicians	Tome of Order.PNG	Eternal Ability	Stability Tome	0	-	-	-	-	【Entry】 Place 1 "Transcendance" marker. 【Limit】 Self-sacrifice; target Magician squadron gains Safeguard (2).	
Tome of Spirits	Magicians	Tome of Spirits.PNG	Eternal Ability	Mystical Tome	0	-	-	-	-	【Charge】 Reveal a Magician squadron or Magic ability from hand, field, or graveyard, Charge [1], Scry 2, then draw 2.  【Limit】 Self-sacrifice; Transient deploy target Magician squadron from ally graveyard with a different name than ally deleted cards.	
Celica Alt 1	Magicians	Celica Alt 1.PNG	Squadron	-	-	-	-	-	-	-	
Julia Alt 1	Magicians	Julia Alt 1.PNG	Squadron	-	-	-	-	-	-	-	
Julia Alt 2	Magicians	Julia Alt 2.PNG	Squadron	-	-	-	-	-	-	-	
Patchouli Alt 1	Magicians	Patchouli Alt 1.PNG	Squadron	-	-	-	-	-	-	-	
Marker - Protection (Magicians) (Tome of Life)	Magicians	Protection.PNG	Token	-	-	-	-	-	-	【Expire】 Ally "Tome of Life" leaves the field. 【Passive】 Must be placed into an Active ally zone. A Magician squadron in this zone gains Defense (5).	
Marker - Transcendance (Magicians) (Tome of Order)	Magicians	Transcendance.PNG	Token	-	-	-	-	-	-	【Expire】 Ally "Tome of Order" leaves the field. 【Passive】 Must be placed into an Active ally zone. A Magician squadron in this zone gains Perfect Strike.	
Marker - Wrath (Magicians) (Tome of Death)	Magicians	Wrath.PNG	Token	-	-	-	-	-	-	【Expire】 Ally "Tome of Death" leaves the field. 【Passive】 Must be placed into an Active ally zone. A Magician squadron in this zone gains Attack (5).	
